type,issuercode,issuername,assetname,assetcode,,,,,,,,,,,,,,,,
SC,PIM,PIMCO Australia Pty Ltd (EQT) (Calastone),PIMCO Australian Focus Fund - Wholesale Class,ETL0182AU,,,,,,,,,,,,,,,,
SC,ETV,Copper Rock Partners (RE: EQT) (Calastone),Copper Rock Global Small Cap Fund,ETL0199AU,,,,,,,,,,,,,,,,
SC,TRI,Tribeca Investment Partners (EQT) (Calastone),Grant Samuel Tribeca Alpha Plus Units - Class C,ETL0200AU,,,,,,,,,,,,,,,,
SC,OBS,Allan Gray Australia Pty Ltd (EQT) (Calastone),Allan Gray Australia Opportunity Fund,ETL0273AU,,,,,,,,,,,,,,,,
SC,ETS,Partners Group (RE: EQT),Partners Group Global Value Fund - Wholesale Class,ETL0276AU,,,,,,,,,,,,,,,,
SC,ETS,Partners Group (RE: EQT),Partners Group Global Value Fund - Retail Class,ETL0277AU,,,,,,,,,,,,,,,,
SC,BNY,BNY Mellon Asset Management Ltd (RE: EQT),BNY Mellon Global Asset Allocation Fund,ETL0279AU,,,,,,,,,,,,,,,,
SC,BNY,BNY Mellon Asset Management Ltd (RE: EQT),BNY Mellon Standish Global Bond Fund,MEBF,,,,,,,,,,,,,,,,
SC,ETP,T Rowe Price International Ltd (EQT) (Calastone),T. Rowe Price Global Equity (Hedged) Fund,ETL0312AU,,,,,,,,,,,,,,,,
SC,ETL,Equity Trustees Ltd (Calastone),Alpha Alternatives Fund,ETL0318AU,,,,,,,,,,,,,,,,
SC,ETL,Equity Trustees Ltd (Calastone),Alpha Infrastructure Fund,ETL0319AU,,,,,,,,,,,,,,,,
SC,AWF,Armytage Private Pty Ltd (EQT) (Calastone),Armytage Strategic Opportunities Fund - Ordinary Class,ETL0320AU,,,,,,,,,,,,,,,,
SC,LTR,Lincoln Indicators Pty Ltd (RE: EQT),Lincoln Retail Australian Income Fund,ETL0323AU,,,,,,,,,,,,,,,,
SC,LTR,Lincoln Indicators Pty Ltd (RE: EQT),Lincoln Wholesale Australian Income Fund,ETL0324AU,,,,,,,,,,,,,,,,
SC,ETP,T Rowe Price International Ltd (EQT) (Calastone),T.Rowe Price Australian Equity Fund,ETL0328AU,,,,,,,,,,,,,,,,
SC,ETL,Equity Trustees Ltd (Calastone),Alpha Diversified Income Fund,ETL0329AU,,,,,,,,,,,,,,,,
SC,EQN,Henderson Global Investors (EQT) (Calastone),Henderson Global Natural Resources Fund,ETL0331AU,,,,,,,,,,,,,,,,
SC,BNM,MFS Investment Mgt (EQT) (Calastone),MFS Emerging Markets Equity Trust - Class A,ETL0334AU,,,,,,,,,,,,,,,,
SC,SMF,Somerset Capital Mgt LLP (EQT) (Calastone),Somerset Emerging Markets Dividend Growth Fund,ETL0347AU,,,,,,,,,,,,,,,,
SC,ETN,Paradice Investments Ltd (EQT) (Calastone),Paradice Global Small Mid Cap Fund,ETL0365AU,,,,,,,,,,,,,,,,
SC,ETT,Equity Trustees Ltd  - White Outsourcing,Spire USA ROC II Fund (AUD) - Ordinary Units,ETL0371AU,,,,,,,,,,,,,,,,
SC,ESS,Stratton Street Capital LLP (EQT),Stratton Street New Capital Wealthy Nations Bond Fund,ETL0372AU,,,,,,,,,,,,,,,,
SC,SGH,SG Hiscock Company Ltd (EQT) (Calastone),SGH20 Professional Investor Fund,ETL0373AU,,,,,,,,,,,,,,,,
SC,SGH,SG Hiscock Company Ltd (EQT) (Calastone),SGH ICE Professional Investor Fund,ETL0374AU,,,,,,,,,,,,,,,,
SC,SGH,SG Hiscock Company Ltd (EQT) (Calastone),SGH Property Income Fund,ETL0376AU,,,,,,,,,,,,,,,,
SC,ROB,Robeco Hong Kong Ltd (RE: EQT) (Calastone),Robeco Emerging Conservative Equity Fund (AUD),ETL0381AU,,,,,,,,,,,,,,,,
SC,SGH,SG Hiscock Company Ltd (EQT) (Calastone),SGH Australia Plus Fund,ETL0383AU,,,,,,,,,,,,,,,,
SC,EWB,William Blair & Company  L.L.C. (EQT),William Blair Global Leaders Fund,ETL0388AU,,,,,,,,,,,,,,,,
SC,DRO,Evans & Partners P/L (EQT),Evans & Partners International Fund,ETL0390AU,,,,,,,,,,,,,,,,
SC,DRO,Evans & Partners P/L (EQT),Evans & Partners International Fund - Hedged,ETL0391AU,,,,,,,,,,,,,,,,
SC,SGH,SG Hiscock Company Ltd (EQT) (Calastone),SGH LaSalle Global Property Rich Fund,ETL0394AU,,,,,,,,,,,,,,,,
SC,IIP,Insight Investment Mgt (Global) Ltd (RE: EQT),Insight Diversified Inflation Plus Fund,ETL0396AU,,,,,,,,,,,,,,,,
SC,ETP,T Rowe Price International Ltd (EQT) (Calastone),T.Rowe Price Dynamic Global Bond Fund,ETL0398AU,,,,,,,,,,,,,,,,
SC,BNM,MFS Investment Mgt (EQT) (Calastone),MFS Blended Research Global Equity Trust,ETL0402AU,,,,,,,,,,,,,,,,
SC,PIM,PIMCO Australia Pty Ltd (EQT) (Calastone),PIMCO Unconstrained Bond Fund - Wholesale Class,ETL0404AU,,,,,,,,,,,,,,,,
SC,ETV,Copper Rock Partners (RE: EQT) (Calastone),Spire Copper Rock Capital Global Smaller Companies Fund,ETL0410AU,,,,,,,,,,,,,,,,
SC,ETT,Equity Trustees Ltd  - White Outsourcing,Spire USA ROC Seniors Housing and Medical Properties Fund,ETL0412AU,,,,,,,,,,,,,,,,
SC,THB,THB (EQT) (Calastone),THB US Micro Cap Fund,ETL0413AU,,,,,,,,,,,,,,,,
SC,ROB,Robeco Hong Kong Ltd (RE: EQT) (Calastone),Robeco BP Global Premium Equities Fund (AUD),ETL0415AU,,,,,,,,,,,,,,,,
SC,PTA,Pan-Tribal Asset Management Pty Ltd (RE: EQT),Pan-Tribal Global Equity Fund,ETL0419AU,,,,,,,,,,,,,,,,
SC,BHM,Barrow Hanley Mewhinney & Stauss (EQT),Barrow Hanley Global Equity Trust,ETL0434AU,,,,,,,,,,,,,,,,
SC,DRE,Dundas & Apostle Funds Mgt (EQT),Dundas Global Equity Fund - Class C,ETL0438AU,,,,,,,,,,,,,,,,
SC,RAN,Ranger International Mgt (RE: EQT),Ranger Global Income & Growth Fund - Institutional Class,ETL0442AU,,,,,,,,,,,,,,,,
SC,EFI,Flinders Investment Partners (EQT) (Swiftnet),Flinders Emerging Companies Fund - Class A,ETL0444AU,,,,,,,,,,,,,,,,
SC,PIM,PIMCO Australia Pty Ltd (EQT) (Calastone),PIMCO Capital Securities Fund - Wholesale,ETL0445AU,,,,,,,,,,,,,,,,
SC,TRI,Tribeca Investment Partners (EQT) (Calastone),Tribeca Global Natural Resources Fund,ETL0446AU,,,,,,,,,,,,,,,,
SC,RAN,Ranger International Mgt (RE: EQT),Ranger Global Income & Growth Fund - Wholesale Class,ETL0447AU,,,,,,,,,,,,,,,,
SC,EFI,Flinders Investment Partners (EQT) (Swiftnet),Flinders Emerging Companies Fund - Class B,ETL0449AU,,,,,,,,,,,,,,,,
SC,ETN,Paradice Investments Ltd (EQT) (Calastone),Paradice Mid Cap Equities Fund - Class A,PSMCTA,,,,,,,,,,,,,,,,
SC,PIM,PIMCO Australia Pty Ltd (EQT) (Calastone),PIMCO Income Fund - Wholesale,ETL0458AU,,,,,,,,,,,,,,,,
SC,ALA,Altair Asset Mgt Ltd (EQT),Altair Macro Thematic Fund,ETL0459AU,,,,,,,,,,,,,,,,
SC,ETT,Equity Trustees Ltd  - White Outsourcing,Spire USA ROC III Fund (AUD),ETL0460AU,,,,,,,,,,,,,,,,
SC,OBS,Allan Gray Australia Pty Ltd (EQT) (Calastone),Orbis Global Equity Fund - Retail Class,ETL0463AU,,,,,,,,,,,,,,,,
SC,WHO,Watermark IM (EQT) (Calastone),Watermark Market Neutral Trust - Class C,ETL0485AU,,,,,,,,,,,,,,,,
SC,ETN,Paradice Investments Ltd (EQT) (Calastone),Paradice Large Cap Funds - Institutional Class,ETLA4000Q,,,,,,,,,,,,,,,,
SC,ETN,Paradice Investments Ltd (EQT) (Calastone),Paradice Mid Cap Equities Fund - Institutional Class,ETLA4510Q,,,,,,,,,,,,,,,,
SC,ATL,One Managed Investment Fund Ltd,EAIT Direct Investments Fund,EVCA1000Q,,,,,,,,,,,,,,,,
SC,ATL,One Managed Investment Fund Ltd,Everest Alternative Investment Trust,EVCA2000Q,,,,,,,,,,,,,,,,
SC,MCM,Millinium Capital Managers Limited,Millinium Multi Strategy Fund - Patient Capital Option,EXP0007AU,,,,,,,,,,,,,,,,
SC,MCM,Millinium Capital Managers Limited,Millinium Multi Strategy Fund - Multi Strategy Income,EXP0011AU,,,,,,,,,,,,,,,,
SC,MCM,Millinium Capital Managers Limited,Millinium Multi Strategy Fund - Investment Cash,EXP0012AU,,,,,,,,,,,,,,,,
SC,MCM,Millinium Capital Managers Limited,Millinium Multi Strategy Fund - Australian Equities,EXP0013AU,,,,,,,,,,,,,,,,
SC,VIM,Celeste Funds Management Limited,Celeste Australian Small Companies Fund,FAM0101AU,,,,,,,,,,,,,,,,
SC,EGG,Fundhost Limited,Forager Australian Shares Fund,FHT0009AU,,,,,,,,,,,,,,,,
SC,EGG,Fundhost Limited,8IP Australian Small Companies Fund,FHT0012AU,,,,,,,,,,,,,,,,
SC,EGG,Fundhost Limited,Montgomery (Private) Fund,FHT0027AU,,,,,,,,,,,,,,,,
SC,EGG,Fundhost Limited,The Montgomery Fund,FHT0030AU,,,,,,,,,,,,,,,,
SC,EGG,Fundhost Limited,Forager International Shares Fund,FHT0032AU,,,,,,,,,,,,,,,,
SC,EGG,Fundhost Limited,Montgomery Global Fund,FHT0036AU,,,,,,,,,,,,,,,,
SC,EGG,Fundhost Limited,Montaka Global Access Fund,FHT0038AU,,,,,,,,,,,,,,,,
SC,FID,FIL Investment Mgt (Australia) Ltd (Calastone),Fidelity Global Equities Fund,FID0007AU,,,,,,,,,,,,,,,,
SC,FID,FIL Investment Mgt (Australia) Ltd (Calastone),Fidelity Australian Equities Fund,FID0008AU,,,,,,,,,,,,,,,,
SC,FID,FIL Investment Mgt (Australia) Ltd (Calastone),Fidelity Asia Fund,FID0010AU,,,,,,,,,,,,,,,,
SC,FID,FIL Investment Mgt (Australia) Ltd (Calastone),Fidelity China Fund,FID0011AU,,,,,,,,,,,,,,,,
SC,FID,FIL Investment Mgt (Australia) Ltd (Calastone),Fidelity Select Global Small Cap Fund,FID0012AU,,,,,,,,,,,,,,,,
SC,FID,FIL Investment Mgt (Australia) Ltd (Calastone),Fidelity Hedged Global Equities Fund,FID0014AU,,,,,,,,,,,,,,,,
SC,FID,FIL Investment Mgt (Australia) Ltd (Calastone),Fidelity India Fund,FID0015AU,,,,,,,,,,,,,,,,
SC,FID,FIL Investment Mgt (Australia) Ltd (Calastone),Fidelity Australian Opportunities Fund,FID0021AU,,,,,,,,,,,,,,,,
SC,FID,FIL Investment Mgt (Australia) Ltd (Calastone),Fidelity Global Demographics Fund,FID0023AU,,,,,,,,,,,,,,,,
SC,FID,FIL Investment Mgt (Australia) Ltd (Calastone),Fidelity Future Leaders Fund,FID0026AU,,,,,,,,,,,,,,,,
SC,FID,FIL Investment Mgt (Australia) Ltd (Calastone),Fidelity Global Strategic Bond,FID0028AU,,,,,,,,,,,,,,,,
SC,FPO,Fiducian Portfolio Services Ltd (Calastone),Fiducian India Fund,FPS0013AU,,,,,,,,,,,,,,,,
SC,FRT,Franklin Templeton Investments Aust Ltd (Calastone),Templeton Global Equity Fund,FRT0004AU,,,,,,,,,,,,,,,,
SC,FRT,Franklin Templeton Investments Aust Ltd (Calastone),Templeton Global Bond Plus Fund - Class W,FRT0008AU,,,,,,,,,,,,,,,,
SC,FRT,Franklin Templeton Investments Aust Ltd (Calastone),Franklin Global Growth Fund-Class W,FRT0009AU,,,,,,,,,,,,,,,,
SC,FRT,Franklin Templeton Investments Aust Ltd (Calastone),Franklin Templeton Multisector Bond Fund,FRT0011AU,,,,,,,,,,,,,,,,
SC,FRT,Franklin Templeton Investments Aust Ltd (Calastone),Franklin Templeton Multisector Bond Fund - I Class,FRT0012AU,,,,,,,,,,,,,,,,
SC,FRT,Franklin Templeton Investments Aust Ltd (Calastone),Franklin Templeton Aust Equity Fund CL W,FRT0020AU,,,,,,,,,,,,,,,,
SC,FRT,Franklin Templeton Investments Aust Ltd (Calastone),Franklin Templeton Global Aggregate Bond Fund - W Class,FRT0025AU,,,,,,,,,,,,,,,,
SC,FRT,Franklin Templeton Investments Aust Ltd (Calastone),Franklin Australian Absolute Return Bond Fund - Class W,FRT0027AU,,,,,,,,,,,,,,,,
SC,FRT,Franklin Templeton Investments Aust Ltd (Calastone),Franklin Australian Absolute Return Bond Fund CL I,FRT0028AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State W/sale Australian Share Fund,FSF0002AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State W/sale Imputation Fund,FSF0003AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State W/sale Property Securites Fund,FSF0004AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State Balanced Fund - Retail,FSF0006AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State Future Leaders Fund - Retail,FSF0007AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State W/sale Diversified Fund,FSF0008AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State Property Securities Fund - Retail,FSF0012AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State Imputation Fund - Retail,FSF0013AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State Australian Share Fund - Retail,FSF0014AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS Concentrated Australian Share Fund,FSF0016AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State Conservative Fund - Retail,FSF0021AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State Diversified Fund - Retail,FSF0022AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State W/sale Australian Bond Fund,FSF0027AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State Cash Fund - Retail,FSF0032AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State W/sale Conservative Fund,FSF0033AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State Developing Companies Fund - Retail,FSF0035AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State W/sale Global Resources Fund,FSF0038AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State W/sale Divers.Fixed Interest Fund,FSF0039AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State W/sale Balanced Fund,FSF0040AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State Global Resources Fund - Retail,FSF0041AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State W/sale Geared Share Fund,FSF0043AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State Geared Share Fund - Retail,FSF0044AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Stewart Investors Worldwide Leaders,FSF0047AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,CFS Worldwide Leaders Fund - Retail,FSF0048AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State W/sale Cash Fund,FSF0075AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State W/sale Industrial Share Fund,FSF0076AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State High Growth Fund - Retail,FSF0077AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS Lazard Wholesale Select Australian Equity,FSF0079AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS Wholesale Global Emerging Markets Fund,FSF0080AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Colonial First State Wholesale Global Credit Income Fund,FSF0084AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FirstChoice Inv : Geared Australian Share - Core,FSF0090AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State Income Fund - Entry fee option,FSF0136AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State W/sale Income Fund,FSF0139AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State W/sale Global Tech & Communications,FSF0143AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State Global Tech & Communications Fund - Retail,FSF0144AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State Global Health & Biotechnology Fund - Retail,FSF0145AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State W/sale Global Health & Biotechnology,FSF0146AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State Geared Global Share Fund - Retail,FSF0169AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS Wholesale Geared Global Share Fund,FSF0170AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Colonial First State Mortgage Income Fund NEF - Retail,FSF0171AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State Diversified Fund NEF - Retail,FSF0199AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State Imputation Fund NEF - Retail,FSF0202AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State Geared Share Fund NEF - Retail,FSF0205AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State Property Securities Fund - NEF,FSF0211AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,CFS FirstChoice Inv - Moderate Fund - Retail,FSF0224AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,CFS FirstChoice Inv - Growth Blended - Retail,FSF0225AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,CFS FirstChoice Inv - Cash Fund - Retail,FSF0228AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,CFS FirstChoice Inv - CFS Australian Share Core - Retail,FSF0238AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FirstChoice Inv - AS8 Maple Brown Abbot Advance Imputation,FSF0239AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,CFS FirstChoice Inv - Schroder Australian Equity,FSF0240AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,CFS FirstChoice Inv - Worldwide Leaders Fund - Retail,FSF0242AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,Col First State FirstChoice Global Resources Fund - Retail,FSF0244AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,CFS FirstChoice Inv - Property Securities Fund - Retail,FSF0251AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,CFS FC Inv - CFS Geared Share - Retail,FSF0264AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,CFS FirstChoice Inv - Integrity Australian Share,FSF0408AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,CFS FirstChoice Inv - Australian Small Companies - Retail,FSF0410AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,CFS FirstChoice Inv - Lazard Select Aust Equity Fund,FSF0418AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS Wholesale Geared Australian Share Fund - Core,FSF0453AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS Wholesale Global Property Securities Fund,FSF0454AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS Antares Elite Opportunities Fund,FSF0455AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State FirstChoice W/sale Boutique Aust Share Fund,FSF0456AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS First Choice Maple-Brown Abbott W/S Imputation Fund,FSF0461AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FC W/sale Schroder Australian Equity Fund,FSF0462AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FC W/sale Integrity Australian Share Fund,FSF0464AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FC Investors Mutual Wholesale Australian Share Fund,FSF0465AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FC W/sale Solaris Core Australian Equity Fund,FSF0466AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FC Perennial Value Wholesale Australian Share Fund,FSF0467AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FirstChoice Wholesale Developing Companies Fund,FSF0468AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State FirstChoice Wholesale Future Leaders Fund,FSF0469AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FirstChoice Wholesale Multi-Index Conservative Fund,FSF0471AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FC Wholesale Multi-Index Diversified Fund,FSF0472AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FirstChoice Wholesale Multi-Index Balanced Fund,FSF0476AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS-First Choice WS Multi-Index High Growth,FSF0477AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FC  W/sale  Aberdeen Australian Fixed Interest Fund,FSF0478AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FC MFS Wholesale Global Equity Fund,FSF0480AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State FirstChoice W/sale Australian Share Fund,FSF0485AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State FirstChoice Wholesale Conservative Fund,FSF0486AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State FirstChoice Wholesale Defensive Fund,FSF0487AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State FirstChoice Wholesale Fixed Interest Fund,FSF0488AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State FirstChoice W/sale Global Share Fund,FSF0489AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State FirstChoice Wholesale Growth Fund,FSF0490AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State W/sale High Growth Fund,FSF0498AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State FirstChoice Wholesale High Growth Fund,FSF0499AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State FirstChoice Wholesale Moderate Fund,FSF0500AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State FirstChoice W/sale Property Securities Fund,FSF0501AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Col First State FirstChoice W/sale Aust Small Companies Fund,FSF0502AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FC W/sale RREEF Property Securities Fund,FSF0504AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FirstChoice WS Inv - Platinum WS International,FSF0505AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS Wholesale Sovereign Australian Bond Fund,FSF0507AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FirstChoice WS Index Australian Share,FSF0652AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Colonial First State Wholesale Index Australian Bond Fund,FSF0653AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FirstChoice WS Index Global Share Fund,FSF0654AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FirstChoice Wholesale Index Property Securities Fund,FSF0655AU,,,,,,,,,,,,,,,,
SC,FSR,Colonial First State Investments Limited - Retail,CFS Firstchoice Inv - CFS Indexed Property Securities Fund,FSF0662AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS Firstchoice Inv -CFS Global Property Securities Fund,FSF0666AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS Wholesale Target Return Income,FSF0694AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,FirstChoice WS Inv - Goldman Sachs JBWere WS Income Plus fun,FSF0702AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FirstChoice WS Global Share - Hedged,FSF0706AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS Wholesale Index Global Share - Hedged,FSF0707AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FC W/sale Merlon Australian Share Income Fund,FSF0709AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS Wholesale Acadian Global Equity Fund,FSF0710AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FirstChoice WS Global Property Sec Fund,FSF0713AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FC W/sale Celeste Australian Small Companies Fund,FSF0715AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS Acadian Wholesale Australian Equity Fund,FSF0787AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS Acadian Wholesale Global Equity Long Short Fund,FSF0788AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS Acadian Wholesale Australian Equity Long Short Fund,FSF0789AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FirstChoice WS Global Infrastructure Sec Fund,FSF0795AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Acadian Wholesale Defensive Income,FSF0797AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FirstChoice Wholesale Asian Share Fund,FSF0889AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,Acadian Wholesale Geared Global Equity Fund,FSF0891AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS Wholesale Colliers Geared Global Property Sec Fund,FSF0892AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS FC WS Inv Legg Mason Martin Currie W'sale Real Income,FSF0893AU,,,,,,,,,,,,,,,,
SC,FSF,Colonial First State Investments Limited,CFS Wholesale Global Listed Infrastructure Securities Fund,FSF0905AU,,,,,,,,,,,,,,,,
