type,issuercode,issuername,assetname,assetcode,,,,,,,,,,,,,,,,
SC,CAR,Carnegie Asset Mgt Ltd (EQT) (Calastone),Carnegie WorldWide Equity Trust,ARO0006AU,,,,,,,,,,,,,,,,
SC,ARN,Arnhem IMPL (EQT) (Calastone),Arnhem Australian Equity Fund,ARO0011AU,,,,,,,,,,,,,,,,
SC,ARN,Arnhem IMPL (EQT) (Calastone),Arnhem Concentrated Australian Equity Fund,ARO0015AU,,,,,,,,,,,,,,,,
SC,ARN,Arnhem IMPL (EQT) (Calastone),Arnhem Long Short Australian Equity Fund,ARO0019AU,,,,,,,,,,,,,,,,
SC,ASC,SmallCo Investment Manager Ltd (Calastone),Smallco Investment Fund,ASC0001AU,,,,,,,,,,,,,,,,
SC,ASC,SmallCo Investment Manager Ltd (Calastone),Smallco Broadcap Fund (SBF),ASC0003AU,,,,,,,,,,,,,,,,
SC,INT,Morningstar Investment Mgt Australia Ltd,Morningstar High Growth Fund - Class A,ASK1198AU,,,,,,,,,,,,,,,,
SC,INT,Morningstar Investment Mgt Australia Ltd,Morningstar Multi-Asset All Growth Fund,ASK1209AU,,,,,,,,,,,,,,,,
SC,INT,Morningstar Investment Mgt Australia Ltd,Morningstar Multi-Asset Defensive Fund,ASK1212AU,,,,,,,,,,,,,,,,
SC,AAS,Auscap Asset Management Pty Ltd,Auscap Long Short Australian Equities Fund,ASX0001AU,,,,,,,,,,,,,,,,
SC,AAS,Auscap Asset Management Pty Ltd,Auscap Long Short Australian Equities Fund Series 36(Jan 16),ASXA0001B,,,,,,,,,,,,,,,,
SC,AAS,Auscap Asset Management Pty Ltd,Auscap Long Short Australian Equities Fund Series 38(Mar 16),ASXA0001D,,,,,,,,,,,,,,,,
SC,AAS,Auscap Asset Management Pty Ltd,Auscap Long Short Australian Equities Fund Series 39(Apr 16),ASXA0001E,,,,,,,,,,,,,,,,
SC,AAS,Auscap Asset Management Pty Ltd,Auscap Long Short Australian Equities Fund Series 30(Jun 15),ASXA0001G,,,,,,,,,,,,,,,,
SC,AAS,Auscap Asset Management Pty Ltd,Auscap Long Short Australian Equities Fund Series 31(Aug 15),ASXA0001I,,,,,,,,,,,,,,,,
SC,AAS,Auscap Asset Management Pty Ltd,Auscap Long Short Australian Equities Fund Series Sep,ASXA0001J,,,,,,,,,,,,,,,,
SC,AAS,Auscap Asset Management Pty Ltd,Auscap Long Short Australian Equities Fund Series 33(Oct 15),ASXA0001K,,,,,,,,,,,,,,,,
SC,AAS,Auscap Asset Management Pty Ltd,Auscap Long Short Australian Equities Fund Series 35(Dec 15),ASXA0001M,,,,,,,,,,,,,,,,
SC,AAS,Auscap Asset Management Pty Ltd,Auscap Long Short Australian Equities Fund Series 27(Mar 15),ASXA0315Q,,,,,,,,,,,,,,,,
SC,AAS,Auscap Asset Management Pty Ltd,Auscap Long Short Australian Equities Fund Series 28(Apr 15),ASXA0415Q,,,,,,,,,,,,,,,,
SC,AAS,Auscap Asset Management Pty Ltd,Auscap Long Short Australian Equities Fund Series 29(May 15),ASXA0515Q,,,,,,,,,,,,,,,,
SC,AAS,Auscap Asset Management Pty Ltd,Auscap Long Short Australian Equities Fund Series 42(Jul 16),,,,,,,,,,,,,,,,,
SC,AUG,Australian Ethical Investment Ltd (Calastone),Australian Ethical Balanced Fund,AUG0001AU,,,,,,,,,,,,,,,,
SC,AUG,Australian Ethical Investment Ltd (Calastone),Australian Ethical International Shares Fund - Retail,AUG0006AU,,,,,,,,,,,,,,,,
SC,AUG,Australian Ethical Investment Ltd (Calastone),Australian Ethical Australian Shares Fund Class B,AUG0018AU,,,,,,,,,,,,,,,,
SC,AUG,Australian Ethical Investment Ltd (Calastone),Australian Ethical Diversified Shares Fund Class B,AUG0019AU,,,,,,,,,,,,,,,,
SC,AUG,Australian Ethical Investment Ltd (Calastone),Climate Advocacy Fund Class B,AUG0020AU,,,,,,,,,,,,,,,,
SC,AUG,Australian Ethical Investment Ltd (Calastone),Australian Ethical Fixed Interest Fund Class B,AUG0023AU,,,,,,,,,,,,,,,,
SC,AUG,Australian Ethical Investment Ltd (Calastone),Australian Ethical International Shares Fund Class B,AUG0025AU,,,,,,,,,,,,,,,,
SC,AUG,Australian Ethical Investment Ltd (Calastone),Australian Ethical Emerging Companies Fund Class B,AUG0027AU,,,,,,,,,,,,,,,,
SC,AUS,Australian Unity Funds Management Limited,Australian Unity High Yield Mortgage Trust,AUS0003AU,,,,,,,,,,,,,,,,
SC,AUS,Australian Unity Funds Management Limited,Australian Unity Wholesale Cash Fund,AUS0004AU,,,,,,,,,,,,,,,,
SC,AUS,Australian Unity Funds Management Limited,Australian Unity Wholesale High Yield Mortgage Trust,AUS0005AU,,,,,,,,,,,,,,,,
